plate.number,plate.id,well,sample.id,host,sample.name,host.id,treatment,time,individual
2,plate2vc,C06,hm42,Hordeum.murinum,Hm.Zpa21.t7.2,Hm,Zpa21,t7,2
2,plate2vc,B02,hm43,Hordeum.murinum,Hm.Zpa21.t7.3,Hm,Zpa21,t7,3
1,plate1vf,F12,hm44,Hordeum.murinum,Hm.Zpa21.t7.4,Hm,Zpa21,t7,4
2,plate2vc,A09,hm45,Hordeum.murinum,Hm.Zpa21.t7.5,Hm,Zpa21,t7,5
2,plate2vc,D01,hm46,Hordeum.murinum,Hm.Mock.t11.1,Hm,Mock,t11,1
2,plate2vc,D03,hm47,Hordeum.murinum,Hm.Mock.t11.2,Hm,Mock,t11,2
2,plate2vc,C07,hm48,Hordeum.murinum,Hm.Mock.t11.3,Hm,Mock,t11,3
2,plate2vc,A07,hm49,Hordeum.murinum,Hm.Mock.t11.4,Hm,Mock,t11,4
1,plate1vf,G05,hm5,Hordeum.murinum,Hm.Mock.t2.5,Hm,Mock,t2,5
1,plate1vf,H08,hm50,Hordeum.murinum,Hm.Mock.t11.5,Hm,Mock,t11,5
2,plate2vc,B09,hm51,Hordeum.murinum,Hm.Zpa796.t11.1,Hm,Zpa796,t11,1
2,plate2vc,B10,hm52,Hordeum.murinum,Hm.Zpa796.t11.2,Hm,Zpa796,t11,2
1,plate1vf,H05,hm53,Hordeum.murinum,Hm.Zpa796.t11.3,Hm,Zpa796,t11,3
2,plate2vc,D02,hm54,Hordeum.murinum,Hm.Zpa796.t11.4,Hm,Zpa796,t11,4
1,plate1vf,F08,hm55,Hordeum.murinum,Hm.Zpa796.t11.5,Hm,Zpa796,t11,5
2,plate2vc,B05,hm56,Hordeum.murinum,Hm.Zpa21.t11.1,Hm,Zpa21,t11,1
2,plate2vc,B07,hm57,Hordeum.murinum,Hm.Zpa21.t11.2,Hm,Zpa21,t11,2
2,plate2vc,C01,hm58,Hordeum.murinum,Hm.Zpa21.t11.3,Hm,Zpa21,t11,3
2,plate2vc,C04,hm59,Hordeum.murinum,Hm.Zpa21.t11.4,Hm,Zpa21,t11,4
1,plate1vf,G03,hm6,Hordeum.murinum,Hm.Zpa796.t2.1,Hm,Zpa796,t2,1
1,plate1vf,H07,hm61,Hordeum.murinum,Hm.Mock.t0.1,Hm,Mock,t0,1
2,plate2vc,C12,hm62,Hordeum.murinum,Hm.Mock.t0.2,Hm,Mock,t0,2
2,plate2vc,C11,hm63,Hordeum.murinum,Hm.Zpa796.t0.1,Hm,Zpa796,t0,1
2,plate2vc,C05,hm64,Hordeum.murinum,Hm.Zpa796.t0.2,Hm,Zpa796,t0,2
1,plate1vf,H01,hm65,Hordeum.murinum,Hm.Zpa21.t0.1,Hm,Zpa21,t0,1
1,plate1vf,G11,hm66,Hordeum.murinum,Hm.Zpa21.t0.2,Hm,Zpa21,t0,2
2,plate2vc,A11,hm7,Hordeum.murinum,Hm.Zpa796.t2.2,Hm,Zpa796,t2,2
1,plate1vf,G04,hm8,Hordeum.murinum,Hm.Zpa796.t2.3,Hm,Zpa796,t2,3
1,plate1vf,H12,hm9,Hordeum.murinum,Hm.Zpa796.t2.4,Hm,Zpa796,t2,4
